40.959	-122.216
40.797	-121.71
40.328	-121.579
39.948	-121.674
40.033	-121.528
39.689	-121.414
39.642	-121.277
39.363	-121.114
39.307	-120.682
39.005	-120.749
38.643	-120.426
38.317	-120.342
38.059	-120.265
37.815	-120.312
37.435	-119.733
37.144	-119.559
36.831	-119.32
36.609	-118.914
36.218	-118.352
35.858	-118.558
35.502	-118.779
34.653	-119.376
35.973	-120.405
36.169	-120.657
36.593	-120.653
36.807	-120.837
37.319	-120.142
37.324	-121.602
37.6	-121.902
37.818	-122.064
38.203	-122.158
38.669	-122.198
39.067	-122.488
39.34	-122.766
39.703	-122.693
39.976	-122.746
40.094	-122.799
40.352	-123.063
40.488	-123.107
